--------- beginning of /dev/log/system
D/Genyd   (   56): error connecting to baseband :(Connection refused) 4 retries left
D/local_opengl(  112): Starting local_opengl
I/Vold    (  109): Vold 2.1 (the revenge) firing up
D/Vold    (  109): Volume usb state changing -1 (Initializing) -> 0 (No-Media)
D/Genyd   (   56): Connected to genybaseband
I/Genyd   (   56): Genyd running
D/Genyd   (   56): Received Get Capabilities
D/        (   56): Socket deconnection
D/Genyd   (   56): Received Get GenymotionVersion
D/Genymotion(   56): Received Get GenymotionVersion
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
I/SystemServer(  290): Entered the Android system server!
I/SystemServer(  290): Entropy Mixer
I/SystemServer(  290): Power Manager
I/SystemServer(  290): Activity Manager
I/ActivityManager(  290): Memory class: 64
W/BatteryStatsImpl(  290): Couldn't get kernel wake lock stats
W/UsageStats(  290): Usage stats version changed; dropping
D/Sensors (  290): Client connection accepted (36)
I/genymotion_audio(  308): Starting pcm server
I/genymotion_audio(  308): out sampling rate 44100
I/ActivityManager(  290): Enabled StrictMode logging for AThread's Looper
I/SystemServer(  290): Telephony Registry
I/SystemServer(  290): Scheduling Policy
I/SystemServer(  290): Package Manager
W/PackageManager(  290): Boot class path not found: /system/framework/filterfw.jar
W/PackageParser(  290): No actions in intent filter at /system/app/Bluetooth.apk Binary XML file line #159
W/PackageParser(  290): No actions in intent filter at /system/app/CMFileManager.apk Binary XML file line #127
W/PackageParser(  290): No actions in intent filter at /system/app/Contacts.apk Binary XML file line #533
W/PackageManager(  290): Package com.android.camera desires unavailable shared library com.google.android.media.effects; ignoring!
I/Installer(  290): connecting...
W/PackageParser(  290): No actions in intent filter at /data/app/ApiDemos.apk Binary XML file line #2674
W/PackageParser(  290): No actions in intent filter at /data/app/ApiDemos.apk Binary XML file line #2680
W/PackageManager(  290): Package com.example.android.apis desires unavailable shared library com.example.will.never.exist; ignoring!
W/PackageParser(  290): Unknown element under <intent-filter>: intent-filter at /data/app/com.android.hackathon.application.edgar-1.apk Binary XML file line #53
I/PackageManager(  290): Time to scan packages: 0.463 seconds
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.mail in package com.android.contacts
W/PackageManager(  290): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.android.phone
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.providers.calendar
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.cl in package com.android.providers.calendar
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.mail in package com.android.calendar
W/PackageManager(  290): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.browser (protectionLevel=2 flags=0x9be45)
W/PackageManager(  290): Unknown permission com.cyanogenmod.filemanager.permissions.READ_THEME in package com.cyanogenmod.filemanager
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.settings
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.providers.contacts
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.cp in package com.android.providers.contacts
W/PackageManager(  290): Unknown permission com.google.android.providers.gsf.permission.READ_GSERVICES in package com.android.hackathon.application.edgar
W/PackageManager(  290): Unknown permission com.mirrorlink.android.service.ACCESS_PERMISSION in package com.android.hackathon.application.edgar
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD in package com.android.development
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.development
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES in package com.android.development
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser in package com.android.development
W/PackageManager(  290): Not granting permission android.permission.DEVICE_POWER to package com.android.deskclock (protectionLevel=2 flags=0x8be45)
I/SystemServer(  290): Account Manager
I/SystemServer(  290): Content Manager
I/SystemServer(  290): System Content Providers
I/SystemServer(  290): Lights Service
I/SystemServer(  290): Battery Service
W/BatteryStatsImpl(  290): Couldn't get kernel wake lock stats
I/SystemServer(  290): Vibrator Service
I/SystemServer(  290): Alarm Manager
I/SystemServer(  290): Init Watchdog
I/SystemServer(  290): Window Manager
I/InputManager(  290): Initializing input manager
W/StatusBarManager(  290): warning: no STATUS_BAR_SERVICE
I/InputManager(  290): Starting input manager
I/WindowManager(  290): Enabled StrictMode logging for WMThread's Looper
I/SystemServer(  290): Bluetooth Service
I/WindowManager(  290): Enabled StrictMode for PolicyThread's Looper
I/SystemServer(  290): Input Method Service
W/InputMethodManagerService(  290): Couldn't create dir.: /data/system/inputmethod
I/SystemServer(  290): Accessibility Manager
I/ActivityManager(  290): Config changed: {1.0 0mcc0mnc en_US sw320dp w320dp h508dp nrml long port ?uimode ?night -touch -keyb/v/h -nav/h s.2}
I/SystemServer(  290): Mount Service
D/MountService(  290): got storage path: /mnt/sdcard description: Internal storage primary: true removable: false emulated: true mtpReserve: 100 allowMassStorage: false maxFileSize: 0
D/MountService(  290): using emulated external storage
I/SystemServer(  290): LockSettingsService
I/SystemServer(  290): Device Policy
I/SystemServer(  290): Status Bar
I/SystemServer(  290): Clipboard Service
I/SystemServer(  290): NetworkManagement Service
I/SystemServer(  290): Text Service Manager Service
I/SystemServer(  290): NetworkStats Service
D/VoldCmdListener(  109): volume list
D/MountService(  290): volume state changed for /mnt/USB (null -> removed)
D/VoldCmdListener(  109): asec list
I/SystemServer(  290): NetworkPolicy Service
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.mail in package com.android.contacts
W/PackageManager(  290): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.android.phone
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.providers.calendar
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.cl in package com.android.providers.calendar
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.mail in package com.android.calendar
W/PackageManager(  290): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.browser (protectionLevel=2 flags=0x9be45)
W/PackageManager(  290): Unknown permission com.cyanogenmod.filemanager.permissions.READ_THEME in package com.cyanogenmod.filemanager
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.settings
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.providers.contacts
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.cp in package com.android.providers.contacts
W/PackageManager(  290): Unknown permission com.google.android.providers.gsf.permission.READ_GSERVICES in package com.android.hackathon.application.edgar
W/PackageManager(  290): Unknown permission com.mirrorlink.android.service.ACCESS_PERMISSION in package com.android.hackathon.application.edgar
W/PackageManager(  290): Unknown permission com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD in package com.android.development
